"","aniyr_species","species","population","study_areas_id","aniyr","animals_id","sex","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","tcd_open_abs","tcd_forest_abs","clc_open_abs","clc_forest_abs","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","tcd_open_prop","tcd_forest_prop","clc_open_prop","clc_forest_prop","yearx"
"326","1937_2010_roe","roe",8,8,"1937_2010",1937,"f","day",183,171,0,12,0,171,12,183,0,0.934426229508197,0,0.0655737704918033,0,0.934426229508197,0.0655737704918033,1,0,"2010"
"327","1937_2011_roe","roe",8,8,"1937_2011",1937,"f","night",182,174,0,8,0,174,8,182,0,0.956043956043956,0,0.043956043956044,0,0.956043956043956,0.043956043956044,1,0,"2011"
"328","1937_2011_roe","roe",8,8,"1937_2011",1937,"f","day",182,159,0,23,0,159,23,182,0,0.873626373626374,0,0.126373626373626,0,0.873626373626374,0.126373626373626,1,0,"2011"
"329","1937_2012_roe","roe",8,8,"1937_2012",1937,"f","night",184,181,0,3,0,181,3,184,0,0.983695652173913,0,0.016304347826087,0,0.983695652173913,0.016304347826087,1,0,"2012"
"330","1937_2012_roe","roe",8,8,"1937_2012",1937,"f","day",167,158,0,9,0,158,9,167,0,0.946107784431138,0,0.0538922155688623,0,0.946107784431138,0.0538922155688623,1,0,"2012"
"337","1956_2010_roe","roe",2,2,"1956_2010",1956,"f","night",111,21,64,26,0,21,90,47,64,0.189189189189189,0.576576576576577,0.234234234234234,0,0.189189189189189,0.810810810810811,0.423423423423423,0.576576576576577,"2010"
"338","1956_2010_roe","roe",2,2,"1956_2010",1956,"f","day",104,13,67,22,2,15,89,35,69,0.125,0.644230769230769,0.211538461538462,0.0192307692307692,0.144230769230769,0.855769230769231,0.336538461538462,0.663461538461538,"2010"
"339","1958_2010_roe","roe",2,2,"1958_2010",1958,"f","night",113,0,109,0,4,4,109,0,113,0,0.964601769911504,0,0.0353982300884956,0.0353982300884956,0.964601769911504,0,1,"2010"
"340","1958_2010_roe","roe",2,2,"1958_2010",1958,"f","day",112,0,109,0,3,3,109,0,112,0,0.973214285714286,0,0.0267857142857143,0.0267857142857143,0.973214285714286,0,1,"2010"
"343","1962_2010_roe","roe",2,2,"1962_2010",1962,"m","night",119,41,50,26,2,43,76,67,52,0.34453781512605,0.420168067226891,0.218487394957983,0.0168067226890756,0.361344537815126,0.638655462184874,0.563025210084034,0.436974789915966,"2010"
"344","1962_2010_roe","roe",2,2,"1962_2010",1962,"m","day",115,54,41,16,4,58,57,70,45,0.469565217391304,0.356521739130435,0.139130434782609,0.0347826086956522,0.504347826086956,0.495652173913044,0.608695652173913,0.391304347826087,"2010"
"345","1964_2010_roe","roe",2,2,"1964_2010",1964,"m","night",114,27,76,1,10,37,77,28,86,0.236842105263158,0.666666666666667,0.0087719298245614,0.087719298245614,0.324561403508772,0.675438596491228,0.245614035087719,0.754385964912281,"2010"
"346","1964_2010_roe","roe",2,2,"1964_2010",1964,"m","day",108,27,73,4,4,31,77,31,77,0.25,0.675925925925926,0.037037037037037,0.037037037037037,0.287037037037037,0.712962962962963,0.287037037037037,0.712962962962963,"2010"
"351","1973_2010_roe","roe",2,2,"1973_2010",1973,"f","night",108,26,26,11,45,71,37,37,71,0.240740740740741,0.240740740740741,0.101851851851852,0.416666666666667,0.657407407407407,0.342592592592593,0.342592592592593,0.657407407407407,"2010"
"352","1973_2010_roe","roe",2,2,"1973_2010",1973,"f","day",104,1,91,7,5,6,98,8,96,0.00961538461538462,0.875,0.0673076923076923,0.0480769230769231,0.0576923076923077,0.942307692307692,0.0769230769230769,0.923076923076923,"2010"
"353","1973_2011_roe","roe",2,2,"1973_2011",1973,"f","night",108,29,24,10,45,74,34,39,69,0.268518518518519,0.222222222222222,0.0925925925925926,0.416666666666667,0.685185185185185,0.314814814814815,0.361111111111111,0.638888888888889,"2011"
"354","1973_2011_roe","roe",2,2,"1973_2011",1973,"f","day",110,2,82,11,15,17,93,13,97,0.0181818181818182,0.745454545454545,0.1,0.136363636363636,0.154545454545455,0.845454545454545,0.118181818181818,0.881818181818182,"2011"
"359","1982_2010_roe","roe",2,2,"1982_2010",1982,"m","night",115,0,108,0,7,7,108,0,115,0,0.939130434782609,0,0.0608695652173913,0.0608695652173913,0.939130434782609,0,1,"2010"
"360","1982_2010_roe","roe",2,2,"1982_2010",1982,"m","day",113,0,102,0,11,11,102,0,113,0,0.902654867256637,0,0.0973451327433628,0.0973451327433628,0.902654867256637,0,1,"2010"
"361","1985_2010_roe","roe",2,2,"1985_2010",1985,"m","night",121,5,54,0,62,67,54,5,116,0.0413223140495868,0.446280991735537,0,0.512396694214876,0.553719008264463,0.446280991735537,0.0413223140495868,0.958677685950413,"2010"
"362","1985_2010_roe","roe",2,2,"1985_2010",1985,"m","day",117,1,104,1,11,12,105,2,115,0.00854700854700855,0.888888888888889,0.00854700854700855,0.094017094017094,0.102564102564103,0.897435897435897,0.0170940170940171,0.982905982905983,"2010"
"367","1991_2010_roe","roe",2,2,"1991_2010",1991,"f","night",121,19,82,19,1,20,101,38,83,0.15702479338843,0.677685950413223,0.15702479338843,0.00826446280991736,0.165289256198347,0.834710743801653,0.31404958677686,0.685950413223141,"2010"
"368","1991_2010_roe","roe",2,2,"1991_2010",1991,"f","day",110,5,101,4,0,5,105,9,101,0.0454545454545455,0.918181818181818,0.0363636363636364,0,0.0454545454545455,0.954545454545455,0.0818181818181818,0.918181818181818,"2010"
"369","1993_2010_roe","roe",2,2,"1993_2010",1993,"f","night",102,13,63,22,4,17,85,35,67,0.127450980392157,0.617647058823529,0.215686274509804,0.0392156862745098,0.166666666666667,0.833333333333333,0.343137254901961,0.656862745098039,"2010"
"370","1993_2010_roe","roe",2,2,"1993_2010",1993,"f","day",99,5,87,6,1,6,93,11,88,0.0505050505050505,0.878787878787879,0.0606060606060606,0.0101010101010101,0.0606060606060606,0.939393939393939,0.111111111111111,0.888888888888889,"2010"
"371","1994_2010_roe","roe",2,2,"1994_2010",1994,"m","night",116,32,55,29,0,32,84,61,55,0.275862068965517,0.474137931034483,0.25,0,0.275862068965517,0.724137931034483,0.525862068965517,0.474137931034483,"2010"
"372","1994_2010_roe","roe",2,2,"1994_2010",1994,"m","day",111,11,69,31,0,11,100,42,69,0.0990990990990991,0.621621621621622,0.279279279279279,0,0.0990990990990991,0.900900900900901,0.378378378378378,0.621621621621622,"2010"
"373","1994_2011_roe","roe",2,2,"1994_2011",1994,"m","night",121,27,77,16,1,28,93,43,78,0.223140495867769,0.636363636363636,0.132231404958678,0.00826446280991736,0.231404958677686,0.768595041322314,0.355371900826446,0.644628099173554,"2011"
"374","1994_2011_roe","roe",2,2,"1994_2011",1994,"m","day",119,14,82,23,0,14,105,37,82,0.117647058823529,0.689075630252101,0.19327731092437,0,0.117647058823529,0.882352941176471,0.310924369747899,0.689075630252101,"2011"
"375","1996_2010_roe","roe",2,2,"1996_2010",1996,"f","night",116,58,16,13,29,87,29,71,45,0.5,0.137931034482759,0.112068965517241,0.25,0.75,0.25,0.612068965517241,0.387931034482759,"2010"
"376","1996_2010_roe","roe",2,2,"1996_2010",1996,"f","day",113,18,36,25,34,52,61,43,70,0.15929203539823,0.31858407079646,0.221238938053097,0.300884955752212,0.460176991150442,0.539823008849557,0.380530973451327,0.619469026548673,"2010"
"377","2000_2010_roe","roe",2,2,"2000_2010",2000,"f","night",121,99,18,4,0,99,22,103,18,0.818181818181818,0.148760330578512,0.0330578512396694,0,0.818181818181818,0.181818181818182,0.851239669421488,0.148760330578512,"2010"
"378","2000_2010_roe","roe",2,2,"2000_2010",2000,"f","day",119,30,79,8,2,32,87,38,81,0.252100840336134,0.663865546218487,0.0672268907563025,0.0168067226890756,0.26890756302521,0.73109243697479,0.319327731092437,0.680672268907563,"2010"
