"","species","population","study_areas_id","aniyr","animals_id","area","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","open_tcd","forest_tcd","open_clc","forest_clc","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","open_tcd_prop","forest_tcd_prop","open_clc_prop","forest_clc_prop"
"8.1738_2006","roe","8","8","1738_2006","1738",95.0582640625,"night",2380,2258,0,122,0,2258,122,2380,0,0.948739495798319,0,0.0512605042016807,0,0.948739495798319,0.0512605042016807,1,0
"8.1739_2006","roe","8","8","1739_2006","1739",95.49143046875,"night",2390,2379,0,11,0,2379,11,2390,0,0.995397489539749,0,0.00460251046025105,0,0.995397489539749,0.00460251046025105,1,0
"8.1740_2006","roe","8","8","1740_2006","1740",49.7045343261719,"night",1244,1030,131,13,70,1100,144,1043,201,0.827974276527331,0.105305466237942,0.0104501607717042,0.0562700964630225,0.884244372990354,0.115755627009646,0.838424437299035,0.161575562700965
"8.1741_2006","roe","8","8","1741_2006","1741",33.8375033203125,"night",850,783,0,65,2,785,65,848,2,0.921176470588235,0,0.0764705882352941,0.00235294117647059,0.923529411764706,0.0764705882352941,0.997647058823529,0.00235294117647059
"8.1742_2006","roe","8","8","1742_2006","1742",57.21091953125,"night",1428,744,386,200,98,842,586,944,484,0.521008403361345,0.2703081232493,0.140056022408964,0.0686274509803922,0.589635854341737,0.410364145658263,0.661064425770308,0.338935574229692
"8.1743_2006","roe","8","8","1743_2006","1743",81.7773509765625,"night",2047,1951,0,96,0,1951,96,2047,0,0.953102100635076,0,0.0468978993649243,0,0.953102100635076,0.0468978993649243,1,0
"8.1744_2007","roe","8","8","1744_2007","1744",85.9601475097656,"night",2146,1831,0,315,0,1831,315,2146,0,0.853215284249767,0,0.146784715750233,0,0.853215284249767,0.146784715750233,1,0
"8.1745_2007","roe","8","8","1745_2007","1745",76.5538456054688,"night",1915,1584,0,331,0,1584,331,1915,0,0.827154046997389,0,0.172845953002611,0,0.827154046997389,0.172845953002611,1,0
"8.1746_2007","roe","8","8","1746_2007","1746",111.364458789062,"night",2790,2604,0,186,0,2604,186,2790,0,0.933333333333333,0,0.0666666666666667,0,0.933333333333333,0.0666666666666667,1,0
"8.1748_2007","roe","8","8","1748_2007","1748",83.3081195800781,"night",2082,2021,0,61,0,2021,61,2082,0,0.970701248799231,0,0.0292987512007685,0,0.970701248799231,0.0292987512007685,1,0
"8.1750_2007","roe","8","8","1750_2007","1750",65.9141671386719,"night",1650,1240,118,264,28,1268,382,1504,146,0.751515151515151,0.0715151515151515,0.16,0.016969696969697,0.768484848484848,0.231515151515152,0.911515151515152,0.0884848484848485
"8.1752_2007","roe","8","8","1752_2007","1752",54.2774796386719,"night",1361,1170,0,191,0,1170,191,1361,0,0.859662013225569,0,0.140337986774431,0,0.859662013225569,0.140337986774431,1,0
"8.1753_2007","roe","8","8","1753_2007","1753",458.074514648438,"night",11455,9594,0,1861,0,9594,1861,11455,0,0.837538192928852,0,0.162461807071148,0,0.837538192928852,0.162461807071148,1,0
"8.1754_2007","roe","8","8","1754_2007","1754",251.807096875,"night",6293,5527,208,508,50,5577,716,6035,258,0.878277451136183,0.0330525981249007,0.0807246146511997,0.00794533608771651,0.8862227872239,0.1137772127761,0.959002065787383,0.0409979342126172
"8.1755_2007","roe","8","8","1755_2007","1755",60.4830256347656,"night",1513,1512,0,1,0,1512,1,1513,0,0.999339061467284,0,0.000660938532716457,0,0.999339061467284,0.000660938532716457,1,0
"8.1756_2007","roe","8","8","1756_2007","1756",85.278869140625,"night",2133,1411,353,173,196,1607,526,1584,549,0.661509610876699,0.165494608532583,0.0811064228785748,0.0918893577121425,0.753398968588842,0.246601031411158,0.742616033755274,0.257383966244726
"8.1758_2007","roe","8","8","1758_2007","1758",44.2174803710937,"night",1106,1048,0,58,0,1048,58,1106,0,0.94755877034358,0,0.0524412296564195,0,0.94755877034358,0.0524412296564195,1,0
"8.1759_2007","roe","8","8","1759_2007","1759",49.3922013671875,"night",1230,1078,0,152,0,1078,152,1230,0,0.876422764227642,0,0.123577235772358,0,0.876422764227642,0.123577235772358,1,0
"8.1761_2007","roe","8","8","1761_2007","1761",56.6432135253906,"night",1421,1387,0,34,0,1387,34,1421,0,0.976073187895848,0,0.023926812104152,0,0.976073187895848,0.023926812104152,1,0
"8.1762_2007","roe","8","8","1762_2007","1762",54.7242000488281,"night",1373,1229,0,144,0,1229,144,1373,0,0.895120174799709,0,0.104879825200291,0,0.895120174799709,0.104879825200291,1,0
"8.1763_2007","roe","8","8","1763_2007","1763",42.0762032226562,"night",1055,769,0,286,0,769,286,1055,0,0.728909952606635,0,0.271090047393365,0,0.728909952606635,0.271090047393365,1,0
"8.1764_2007","roe","8","8","1764_2007","1764",96.9084069824219,"night",2424,2299,0,125,0,2299,125,2424,0,0.948432343234323,0,0.0515676567656766,0,0.948432343234323,0.0515676567656766,1,0
"8.1765_2008","roe","8","8","1765_2008","1765",28.7764159667969,"night",714,0,714,0,0,0,714,0,714,0,1,0,0,0,1,0,1
